Date,Meal,Calories
2026-02-18,Patty,380
2026-02-18,Nectarine and pepperoni rolll,543
2026-02-18,3 mini snickers,130
2026-02-19,Patty,380
2026-02-19,Quiche and salad,500
2026-02-19,Meatballs and veg,320
2026-02-19,Coconut bite,90
2026-02-19,Mini snickers,130
2026-02-20,Patty,380
2026-02-20,Yogurt drink,170
2026-02-20,Veg and meatballs,318
2026-02-18,Lasagna,500
2026-02-20,Sushi,600
2026-02-21,"2 eggs, fruit, smoked salmon, 0.5 slices of bread",320
2026-02-21,"5oz veg, 4.6oz sweet potato, meatballs",335
2026-02-21,Cheese,25
2026-02-21,Two chicken tacos,390
2026-02-21,Fudge pop,100
2026-02-22,"2 eggs, 2 slices smoked salmon, raspberries, 1/2 slice toast, cheese",315
2026-02-22,"Meatballs, half a sweet potato, and mixed veggies",352
2026-02-22,2 chipotle chicken tacos with cheese sour cream and pico de gallo,320
2026-02-22,Sweet potato and chicken,138
2026-02-22,Fudge pop,100
2026-02-23,Jamaican beef patty,380
2026-02-23,Zucchini mushroom broccoli chicken meatballs sweet potato,318
2026-02-23,Sweet potato broccoli chicken,230
2026-02-23,Pumpkin seeds,60
2026-02-23,Yogurt protein drink,170
2026-02-23,Pumpkin seeds,30
2026-02-24,Egg bites,250
2026-02-24,Cucumber and tomato salad gyro meat rice,550
2026-02-24,Sweet potato broccoli chicken,201
